"Vuosineljännes";"Alue";"Huoneluku";"Mediaani"
"2020Q1";"Helsinki";"Yksiöt";26.07
"2020Q1";"Espoo-Kauniainen";"Yksiöt";22.73
"2020Q1";"Vantaa";"Yksiöt";22.19
"2020Q1";"Turku";"Yksiöt";17.27
"2020Q1";"Pori";"Yksiöt";13.76
"2020Q1";"Hämeenlinna";"Yksiöt";16.89
"2020Q1";"Tampere";"Yksiöt";18.27
"2020Q1";"Lahti";"Yksiöt";15.79
"2020Q1";"Kuopio";"Yksiöt";17.68
"2020Q1";"Jyväskylä";"Yksiöt";17.58
"2020Q1";"Oulu";"Yksiöt";16.06
"2020Q2";"Helsinki";"Yksiöt";26.30
"2020Q2";"Espoo-Kauniainen";"Yksiöt";22.84
"2020Q2";"Vantaa";"Yksiöt";22.31
"2020Q2";"Turku";"Yksiöt";17.27
"2020Q2";"Pori";"Yksiöt";13.69
"2020Q2";"Hämeenlinna";"Yksiöt";16.81
"2020Q2";"Tampere";"Yksiöt";18.30
"2020Q2";"Lahti";"Yksiöt";15.97
"2020Q2";"Kuopio";"Yksiöt";17.80
"2020Q2";"Jyväskylä";"Yksiöt";17.58
"2020Q2";"Oulu";"Yksiöt";16.06
"2020Q3";"Helsinki";"Yksiöt";26.39
"2020Q3";"Espoo-Kauniainen";"Yksiöt";22.90
"2020Q3";"Vantaa";"Yksiöt";22.41
"2020Q3";"Turku";"Yksiöt";17.35
"2020Q3";"Pori";"Yksiöt";13.65
"2020Q3";"Hämeenlinna";"Yksiöt";16.79
"2020Q3";"Tampere";"Yksiöt";18.38
"2020Q3";"Lahti";"Yksiöt";15.94
"2020Q3";"Kuopio";"Yksiöt";17.86
"2020Q3";"Jyväskylä";"Yksiöt";17.53
"2020Q3";"Oulu";"Yksiöt";16.08
"2020Q4";"Helsinki";"Yksiöt";26.54
"2020Q4";"Espoo-Kauniainen";"Yksiöt";23.00
"2020Q4";"Vantaa";"Yksiöt";22.44
"2020Q4";"Turku";"Yksiöt";17.45
"2020Q4";"Pori";"Yksiöt";13.74
"2020Q4";"Hämeenlinna";"Yksiöt";16.81
"2020Q4";"Tampere";"Yksiöt";18.50
"2020Q4";"Lahti";"Yksiöt";16.00
"2020Q4";"Kuopio";"Yksiöt";17.97
"2020Q4";"Jyväskylä";"Yksiöt";17.67
"2020Q4";"Oulu";"Yksiöt";16.14
"2021Q1";"Helsinki";"Yksiöt";26.67
"2021Q1";"Espoo-Kauniainen";"Yksiöt";23.33
"2021Q1";"Vantaa";"Yksiöt";22.62
"2021Q1";"Turku";"Yksiöt";17.60
"2021Q1";"Pori";"Yksiöt";13.75
"2021Q1";"Hämeenlinna";"Yksiöt";16.79
"2021Q1";"Tampere";"Yksiöt";18.76
"2021Q1";"Lahti";"Yksiöt";15.97
"2021Q1";"Kuopio";"Yksiöt";18.00
"2021Q1";"Jyväskylä";"Yksiöt";17.79
"2021Q1";"Oulu";"Yksiöt";16.32
"2021Q2";"Helsinki";"Yksiöt";26.75
"2021Q2";"Espoo-Kauniainen";"Yksiöt";23.39
